#	id	file_path	transparent_color_r	g	b
[TEXTURES]
1	resource\textures\mario.png	255	255	255
4	resource\textures\enemies.png	68	145	190
3	resource\textures\items-objects.png	64	128	0
2	resource\textures\enemy.png	68	145	190
5	resource\textures\introsceneTitle.png	153	217	234
6	resource\textures\tiles-3.png	255	127	127
7	resource\textures\Hub.png	255	255	255
-100	resource\textures\bbox.png	255	255	255

#	id	left	top	right	bottom	texture_id
[SPRITES]
15101	510	1566	588	1653	1
15102	390	1566	465	1653	1
15103	270	1566	345	1653	1
15004	963	1566	1029	1653	1
15005	1050	1566	1119	1653	1
15006	1140	1566	1212	1653	1
15104	186	1566	252	1653	1
15105	96	1566	165	1653	1
15106	3	1566	78	1653	1
17001	630	1806	702	1890	1
17101	513	1806	585	1890	1
17002	753	1806	822	1893	1
17102	393	1806	462	1893	1
17003	870	1806	945	1893	1
17103	270	1806	345	1893	1
17004	990	1806	1068	1890	1
17104	150	1806	225	1890	1
17005	1110	1806	1185	1890	1
17105	30	1806	105	1890	1
19001	645	2046	687	2130	1
19101	528	2046	570	2130	1
19002	765	2046	813	2130	1
19003	882	2046	933	2130	1
19102	402	2046	453	2130	1
19103	282	2046	333	2130	1
19004	1002	2046	1053	2130	1
19104	162	2046	216	2130	1
19005	1125	2046	1170	2130	1
19105	45	2046	90	2130	1
20001	642	2166	693	2253	1
20101	522	2166	573	2253	1
20002	753	2166	819	2253	1
20102	396	2166	462	2253	1
20005	1124	2168	1173	2250	1
21001	636	2286	696	2370	1
21002	756	2286	816	2370	1
21003	876	2286	936	2370	1
21101	519	2286	579	2370	1
21102	399	2286	459	2370	1
21103	279	2286	339	2370	1
21004	990	2286	1035	2370	1
21005	1065	2286	1113	2370	1
21006	1137	2286	1188	2370	1
21104	180	2286	225	2370	1
21105	102	2286	150	2370	1
21106	27	2286	78	2370	1
22003	996	2406	1056	2490	1
22103	159	2406	219	2490	1
22004	1095	2406	1140	2490	1
22005	1155	2406	1200	2490	1
22104	75	2406	120	2490	1
22105	15	2406	60	2490	1
22001	756	2406	816	2490	1
22002	879	2406	936	2490	1
22101	399	2406	459	2490	1
22102	279	2406	336	2490	1
10	156	30	180	60	2
11	180	30	210	60	2
12	210	30	234	60	2
13	234	30	264	60	2
14	249	3	264	33	2
15	210	0	240	30	2
16	186	0	210	30	2
17	156	0	186	30	2
20	267	0	318	51	2
21	321	6	360	45	2
22	369	6	408	45	2
23	417	6	453	45	2
24	462	0	513	51	2
25	513	0	564	51	2
26	462	51	513	105	2
27	513	51	564	105	2
30	462	0	513	51	2
31	513	0	564	51	2
32	462	51	513	102	2
33	513	51	564	102	2
50000	3009	51	3060	102	6
50001	2091	0	2142	51	6
50010	3417	0	3468	51	6
50011	3468	0	3519	51	6
50012	3519	0	3570	51	6
50013	3570	0	3621	51	6
50014	3621	0	3672	51	6
50020	3111	0	3162	51	6
50021	3162	0	3213	51	6
50022	3213	0	3264	51	6
50023	3264	0	3315	51	6
50031	585	12	612	42	2
50032	618	12	645	42	2
50100	3519	204	3570	255	6
50101	3570	204	3621	255	6
50102	3621	204	3672	255	6
50103	3672	204	3723	255	6
51100	2856	204	2904	255	6
51101	2904	204	2958	255	6
51102	2958	204	3009	255	6
51103	3009	204	3060	255	6
51104	3060	204	3111	255	6
52000	252	513	300	558	2
52100	375	513	426	558	2
53000	312	462	363	513	2
53100	312	513	363	564	2
53200	378	466	425	404	2
60000	0	0	51	51	2
60001	51	0	102	51	2
60002	102	0	153	51	2
60003	267	51	318	102	2
61000	0	51	48	102	2
61001	51	51	102	102	2
61101	666	114	729	186	2
61102	744	114	807	186	2
61002	96	51	144	102	2
61003	318	51	369	102	2
62001	102	102	153	186	2
62002	153	102	204	186	2
62101	51	102	102	186	2
62102	0	102	51	186	2
62300	0	186	51	237	2
62301	51	186	102	237	2
62302	102	186	153	237	2
62303	153	186	204	237	2
62304	0	237	51	288	2
62305	51	237	102	288	2
62306	102	237	153	288	2
62307	153	237	204	288	2
62308	204	186	255	237	2
62309	204	237	255	288	2
63001	306	102	357	186	2
63002	357	102	408	186	2
63101	255	102	306	186	2
63102	204	102	255	186	2
63201	585	102	639	186	2
63202	528	102	582	186	2
63211	411	102	465	186	2
63212	468	102	522	186	2
63300	255	186	306	237	2
63301	306	186	357	237	2
63302	357	186	408	237	2
63303	408	186	459	237	2
63304	255	237	306	288	2
63305	306	237	357	288	2
63306	357	237	408	288	2
63307	408	237	459	288	2
63308	459	186	510	237	2
63309	459	237	510	288	2
64001	0	300	51	399	2
64002	51	300	102	399	2
64101	408	300	459	399	2
64102	459	300	510	399	2
64201	204	300	255	399	2
64202	255	300	306	399	2
64301	357	300	408	399	2
64302	306	300	357	399	2
64401	153	300	204	399	2
64402	102	300	153	399	2
65101	816	300	867	399	2
65102	867	300	918	399	2
65103	612	300	663	399	2
65104	663	300	714	399	2
65201	765	300	816	399	2
65202	714	300	765	399	2
65203	561	300	612	399	2
65204	510	300	561	399	2
54000	15	462	111	558	2
54001	123	462	219	606	2
66001	540	198	591	246	2
66002	591	198	642	246	2
66101	642	198	693	246	2
66102	693	198	744	246	2
70000	0	48	48	96	5
70001	48	48	96	96	5
70002	96	48	144	96	5
70003	144	48	192	96	5
80001	0	672	99	816	5
80002	99	672	198	816	5
80003	198	672	297	816	5
80004	297	672	396	816	5
90000	9	675	468	762	2
90001	348	777	423	864	2
90002	123	777	198	864	2
90003	198	777	273	864	2
90004	273	777	348	864	2
91001	33	780	60	804	2
91002	60	780	108	804	2
91003	60	862	108	886	2
92001	48	810	99	834	2
92002	48	834	99	858	2
90005	705	780	804	879	2
90006	600	780	699	879	2
90007	492	780	591	879	2
40	1238	294	1285	341	2
41	1286	294	1333	341	2
42	1334	294	1381	341	2
43	1382	294	1429	341	2
62201	810	102	862	186	2
62202	867	102	919	186	2
62211	927	102	979	186	2
62212	984	102	1036	186	2
67001	1238	4	1285	76	2
67002	1286	4	1333	76	2
67003	1334	4	1381	76	2
67004	1382	4	1429	76	2
67101	1574	4	1621	76	2
67102	1526	4	1573	76	2
67103	1478	4	1525	76	2
67104	1430	4	1477	76	2
67300	1578	79	1625	150	2
990001	768	480	911	527	5
80005	770	0	1537	560	5

#	ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# ==== MARIO ====
# SMALL MARIO
# idle
101	401	100
102	411	100
103	101	100	201	100
104	505	100
# walk
201	401	100	402	100
202	411	100	412	100
# walk fast
203	401	70	402	70
204	411	70	412	70
# run
205	601	10	602	10
206	611	10	612	10
# kick
207	502	100
208	512	100
# fall
300	403	100
301	413	100
# jump
302	403	100
303	413	100
# last walk
306	501	100
307	511	100
#fly
308	701	100
309	711	100
# stand pick
501	603	50
502	613	50
# walk pick
503	603	50	604	50
504	613	50	614	50
# be big
# right
505	401	40	801	40	401	40	801	40	401	40	801	40
506	411	40	811	40	411	40	811	40	411	40	811	40
599	705	100
# ==== BIG MARIO ====
111	801	100
112	811	100
113	102	100	202	100
114	905	100
# walk
211	801	100	802	100	803	100	802	100
212	811	100	812	100	813	100	812	100
# walk fast
213	801	70	802	70	803	70	802	70
214	811	70	812	70	813	70	812	70
# run
215	10001	70	10002	70	10003	70
216	10101	70	10102	70	10103	70
# kick
217	902	100
218	912	100
# fall
310	803	100
311	813	100
# jump
312	804	100
313	814	100
# sit
314	805	100
315	815	100
# last walk
316	901	100
317	911	100
# fly
318	11003	100
319	11103	100
#pick
511	10004	50
512	10104	50
513	10004	50	10005	50	10006	50
514	10104	50	10105	50	10106	50
515	801	40	11901	40	801	40	11901	40	801	40	11901	40
516	811	40	11902	40	811	40	11902	40	811	40	11902	40

# ==== RACCOON MARIO =====
# idle
121	13001	100
122	13101	100
123	103	100	203	100
124	14005	100
# walk
221	13001	100	13003	100	13004	100	13003	100
222	13101	100	13103	100	13104	100	13103	100
# walk fast
223	13001	70	13003	70	13004	70	13003	70
224	13101	70	13103	70	13104	70	13103	70
# run
225	15001	70	15002	70	15003	70
226	15101	70	15102	70	15103	70
# kick
227	14002	100
228	14102	100
# fall
320	17001	100
321	17101	100
# jump
322	13005	100
323	13105	100
# sit
324	13006	100
325	13106	100
# last walk
326	14001	100
327	14101	100
#fly jump
328	17003	100
329	17103	100
# whipping
421	13301	50	13302	50	13303	50	13304	50	13305	50	13302	50
422	13401	50	13402	50	13403	50	13404	50	13405	50	13402	50
# fly fall
423	17004	100
424	17104	100
# fly push
425	17005	100
426	17105	100
#fly whip
427	17002	50	13004	50	17001	50
428	17102	50	13104	50	17101	50
# pick
521	15004	50
522	15104	50
523	15004	50	15005	50	15006	50
524	15104	50	15105	50	15106	50

# === FIRE MARIO =====
# idle
131	19001	100
132	19101	100
133	105	100	205	100
134	20005	100
# walk
231	19001	100	19002	100	19003	100	19002	100
232	19101	100	19102	100	19103	100	19102	100
# walk fast
233	19001	70	19002	70	19003	70	19002	70
234	19101	70	19102	70	19103	70	19102	70
# run
235	21001	70	21002	70	21003	70
236	21101	70	21102	70	21103	70
# kick
237	20002	100
238	20102	100
# fall
330	19003	100
331	19103	100
# jump
332	19004	100
333	19104	100
# sit
334	19005	100
335	19105	100
# last walk
336	20001	100
337	20101	100
# fly
338	22003	100
339	22103	100
# stand fire
431	22004	100	22005	100
432	22104	100	22105	100
# jump fire
433	22003	70	22002	70	22001	70
434	22103	70	22102	70	22101	70
# pick
531	21004	50
532	21104	50
533	21004	50	21005	50	21006	50
534	21104	50	21105	50	21106	50
# === fire ==
537	10	100	11	100	12	100	13	100
538	14	100	15	100	16	100	17	100


# ==== BRICK ==== 
# nor 
804	50000	100
# question
805	50010	100	50011	100	50012	100	50013	100
806	50014	100
# breakale
807	50020	100	50021	100	50022	100	50023	100
# cloud
808	50001	100
# btn
809	50100	100	50101	100	50102	100
# hitted
819	50103	100
#	Coin
801	51100	100	51101	100	51102	100	51103	100	51104	100
811	51100	100
# mushroom
# red
802	53000	100
#green
812	53100	100
#	leaf
803	52000	10
813	52100	10
#fire flower
814	53200	100
# == Effect ==
# break
817	50031	100	50032	100
# bigbang
539	20	100	21	100	22	100	23	100
# star
818	30	100	31	100	32	100	33	100

# ==== GOOMBA ====
# ++ goomba ++
901	60000	100	60001	100
902	60002	100
903	60003	100
# ++ para goomba ++
911	61000	100	61001	100
912	61002	100
913	61003	100
# jump
914	61101	500	61102	500

# ==== KOOMBA ===
# ++ PARA-Koomba ++
# walking
10001	62001	100	62002	100
10002	62101	100	62102	100
# jumping
10101	62201	100	62202	100
10102	62211	100	62212	100
# die
10200	62300	100
10201	62304	100
10202	62300	100	62301	100	62302	100	62303	100
10203	62304	100	62305	100	62306	100	62307	100
# respaw
10300	62300	50	62308	50	62300	50	62308	50
10301	62304	50	62309	50	62304	50	62309	50
# ++TROPA KOOMBA++
# walking
11001	63001	100	63002	100
11002	63101	100	63102	100
# Jumping
11101	63201	100	63202	100
11102	63211	100	63212	100
# die
11200	63300	100
11201	63304	100
11202	63300	100	63301	100	63302	100	63303	100
11203	63304	100	63305	100	63306	100	63307	100
# respaw
11300	63300	50	63308	50	63300	50	63308	50
11301	63304	50	63309	50	63304	50	63309	50

# === NIPPER PLANT ===
# up 
12000	64001	100	64002	100
# right up
12101	64101	100	64102	100
# right down
12102	64201	100	64202	100
# left up 
12201	64301	100	64302	100
# left right
12202	64401	100	64402	100

# === PIRANHA PLANT ===
# right up
13101	65101	500	65102	500
# right down
13102	65103	500	65104	500
# left up
13201	65201	500	65202	500
# left right
13202	65203	500	65204	500

# boomerang scene
14001	66001	100	66002	100
14002	66101	100	66102	100
# Bomerrang
# walk
15001	67101	100	67102	100
# hold
15002	67103	100	67104	100
# throw
15101	67102	100	67104	100
# walk left fight
15102	67104	100	67103	100
# boomerang
15300	40	100	41	100	42	100	43	100
15301	40	100
15999	67300	100
# drain
601	54000	100
602	54001	100
# HUB
# hub main
90000	90000	100
# item empty
90001	90001	100
# mushroom
90002	90002	100
# flower
90003	90003	100
# start
90004	90004	100
# arrow
91001	91001	100
# p
91002	91003	100	91002	100
# mario
92001	92001	100
# L 
92002	92002	100
#== card== 
# mushroom
90005	90005	100
# flower
90006	90006	100
# star
90007	90007	100

70000	70000	300	70001	300	70002	300	70003	300

100000	80001	100	80002	100	80003	100	80004	100
100002	80005	100
#Block move
300100	990001	100
#
# TYPE_ANI	TYPE	ani1	STATE	ani2	STATE	ani3	STATE ...
[ANIMATION_SETS]
# === MARIO ===
0	1	101	1	102	2	201	4	202	5	203	6	204	7	205	9	206	10	300	17	301	18	302	12	303	13	306	25	307	26	308	28	309	29	308	31	309	32	207	47	208	48	501	53	502	54	503	50	504	51	505	55	506	56	515	57	516	58	599	52	103	59	104	60
0	2	111	1	112	2	211	4	212	5	213	6	214	7	215	9	216	10	310	17	311	18	312	12	313	13	314	20	315	21	316	25	317	26	318	28	319	29	318	31	319	32	217	47	218	48	511	53	512	54	513	50	514	51	515	57	516	58	505	55	506	56	113	59	114	60
0	3	121	1	122	2	221	4	222	5	223	6	224	7	225	9	226	10	320	17	321	18	322	12	323	13	324	20	325	21	326	25	327	26	328	28	329	29	421	23	422	24	423	31	424	32	425	34	426	35	427	37	428	38	227	47	228	48	521	53	522	54	523	50	524	51	123	59	124	60
0	4	131	1	132	2	231	4	232	5	233	6	234	7	235	9	236	10	330	17	331	18	332	12	333	13	334	20	335	21	336	25	337	26	338	28	339	29	338	31	339	32	431	41	432	42	433	44	434	45	237	47	238	48	531	53	532	54	533	50	534	51	133	59	134	60
# === BLOCK ===
# nor 
4	14	804	0
# question
4	12	805	0	806	1
# breakable
4	13	807	0	806	1
#block move
4	41	300100	0	300100	1
# cloud
4	15	808	0
# btn
4	30	809	0	819	1
# === ITEM ===
# leaf
3	29	803	2	813	3
# coin
3	26	801	0	811	1
# mushRoom
3	27	802	0
3	28	812	0
# card
3	38	90001	20	90002	21	90003	22	90004	23
3	37	90005	21	90006	22	90007	23
#fire flower
3	44	814	0


# == weapon ===
2	8	537	2	538	3	539	4
# === GOOMBA ===
1	20	901	5	901	6	902	7	903	8
1	21	911	5	911	6	912	7	913	8	914	9	914	10
# === KOOMBA ===
1	17	10001	5	10101	6	10200	7	10201	8	10202	11	10203	12	10300	13	10301	14
1	18	11001	5	11002	6	11200	7	11201	8	11202	11	11203	12	11300	13	11301	14	11101	9	11102	10
# === PLANT ===
1	23	13101	16	13102	17	13201	18	13202	19	539	7	539	8
1	24	12101	16	12102	17	12201	18	12202	19	539	7	539	8
1	22	12000	15	539	7	539	8
1	39	14001	5	14002	6

#id	link	sizecell	paddingleft	paddingTop	R	G	B(background)
[MAPS]
1	resource\data\IntroScene-map.txt	1	0	0	0	0	0

[OBJECTS]
# tag	x	y	type	extra_settings per object type
# MARIO
0	0	-2	-1
6	0	0	45
6	7	7	40


[SETTINGS]
cam	0	0	18	0	0
time	500
scene	0
